ínàÊÉRÅ[Éh,ínàÊéØï ÉRÅ[Éh,,êlå˚Å@ïΩê¨27îN,êlå˚Å@ïΩê¨22îNÅiëgë÷Åj,ïΩê¨22îNÅ`27îNÇÃêlå˚ëùå∏êî,ïΩê¨22îNÅ`27îNÇÃêlå˚ëùå∏ó¶ÅiÅìÅj,ñ êœÅikm2Åj 1),êlå˚ñßìxÅi1km2ìñÇΩÇËÅj 2),ê¢ë—êîÅ@ïΩê¨27îN,ê¢ë—êîÅ@ïΩê¨22îNÅiëgë÷Åj,ïΩê¨22îNÅ`27îNÇÃê¢ë—ëùå∏êî,ïΩê¨22îNÅ`27îNÇÃê¢ë—ëùå∏ó¶ÅiÅìÅj
1208,2,ñkå©és,120652,125689,-5037,-4.007510602,1427.41,84.5,55569,56012,-443,-0.79090195
1209,2,ó[í£és,8845,10922,-2077,-19.01666361,763.07,11.6,4526,5558,-1032,-18.56783015
1210,2,ä‚å©ëÚés,84541,90145,-5604,-6.216650951,481.02,175.8,36156,36723,-567,-1.543991504
1211,2,ñ‘ëñés,38966,40998,-2032,-4.956339334,471,82.7,17984,18112,-128,-0.706713781
1212,2,óØñGés,22227,24457,-2230,-9.118043914,297.83,74.6,10399,11044,-645,-5.840275263
1213,2,ìœè¨ñqés,172794,173320,-526,-0.303484884,561.57,307.7,78229,76289,1940,2.542961633
1214,2,ítì‡és,36399,39595,-3196,-8.071726228,761.49,47.8,16501,17343,-842,-4.85498472
1215,2,î¸âSés,23048,26034,-2986,-11.46961666,277.69,83,10175,10992,-817,-7.432678312
1216,2,à∞ï és,14686,16628,-1942,-11.6790955,865.04,17,6858,7526,-668,-8.875896891
1217,2,ç]ï és,120677,123722,-3045,-2.46116293,187.38,644,51932,51170,762,1.489153801
1218,2,ê‘ïΩés,11097,12637,-1540,-12.18643665,129.88,85.4,4947,5585,-638,-11.42345568
1219,2,ñ‰ï és,23080,24750,-1670,-6.747474748,830.78,27.8,11095,11390,-295,-2.58999122
1220,2,émï és,19930,21787,-1857,-8.523431404,1119.22,17.8,8655,9100,-445,-4.89010989
1221,2,ñºäÒés,29060,30591,-1531,-5.004739956,535.2,54.3,13083,13348,-265,-1.985316152
1222,2,éOä}és,9080,10221,-1141,-11.16329126,302.52,30,4225,4776,-551,-11.53685092
1223,2,ç™é∫és,26919,29201,-2282,-7.814800863,506.25,65.4,11376,11897,-521,-4.379255274
1224,2,êÁçŒés,95664,93604,2060,2.200760651,594.5,160.9,40614,38541,2073,5.378687631
1225,2,ëÍêÏés,41209,43170,-1961,-4.54250637,115.9,355.6,18631,18947,-316,-1.667810207
1226,2,çªêÏés,17702,19056,-1354,-7.105373636,78.68,225,7870,8415,-545,-6.476530006
1227,2,âÃéuì‡és,3587,4387,-800,-18.23569638,55.95,64.1,1667,2000,-333,-16.65
1228,2,ê[êÏés,21934,23709,-1775,-7.486608461,529.42,41.4,9695,10100,-405,-4.00990099
1229,2,ïxó«ñÏés,22947,24259,-1312,-5.408302074,600.71,38.2,9928,10074,-146,-1.449275362
1230,2,ìoï és,49656,51526,-1870,-3.629235726,212.21,234,21682,21717,-35,-0.161164065
1231,2,åbíÎés,69745,69384,361,0.520292863,294.65,236.7,28612,27634,978,3.539118477
1233,2,à…íBés,35026,36278,-1252,-3.451127405,444.21,78.9,15051,15287,-236,-1.543795382
1234,2,ñkçLìáés,59087,60353,-1266,-2.097658774,119.05,496.3,23561,22991,570,2.479231003
1235,2,êŒéÎés,57462,59449,-1987,-3.342360679,722.42,79.5,22426,22603,-177,-0.783081892
1236,2,ñkìlés,46416,48032,-1616,-3.364423718,397.44,116.8,18414,18412,2,0.010862481
1300,c,êŒéÎêUãªã«,20622,22281,-1659,-7.445805844,500.89,41.2,8392,8486,-94,-1.107706811
1303,3,ìñï í¨,17290,18766,-1476,-7.865288287,422.86,40.9,7327,7400,-73,-0.986486487
1304,3,êVé¬í√ë∫,3332,3515,-183,-5.206258891,78.04,42.7,1065,1086,-21,-1.933701658
1330,c,ìnìáëççáêUãªã«,92454,100648,-8194,-8.141244734,2862.11,32.3,39289,40887,-1598,-3.908332722
1331,3,èºëOí¨,7336,8748,-1412,-16.14083219,293.25,25,3563,3959,-396,-10.00252589
1332,3,ïüìáí¨,4423,5114,-691,-13.51192804,187.28,23.6,2039,2194,-155,-7.064721969
1333,3,ímì‡í¨,4654,5074,-420,-8.277493102,196.75,23.7,2004,2009,-5,-0.24888004
1334,3,ñÿå√ì‡í¨,4545,5341,-796,-14.90357611,221.87,20.5,2140,2317,-177,-7.639188606
1337,3,éµî—í¨,28130,28463,-333,-1.169939922,216.75,129.8,11045,10891,154,1.414011569
1343,3,é≠ïîí¨,4227,4767,-540,-11.32787917,110.64,38.2,1659,1675,-16,-0.955223881
1345,3,êXí¨,15950,17859,-1909,-10.68928831,368.79,43.2,6629,7103,-474,-6.673236661
1346,3,î™â_í¨,17262,18896,-1634,-8.647332769,956.02,18.1,7529,7892,-363,-4.599594526
1347,3,í∑ñúïîí¨,5927,6386,-459,-7.18759787,310.76,19.1,2681,2847,-166,-5.830698981
1360,c,ûwéRêUãªã«,37863,42058,-4195,-9.974321176,2630.29,14.4,16821,17927,-1106,-6.169465053
1361,3,ç]ç∑í¨,8239,9004,-765,-8.496223901,109.53,75.2,3748,3968,-220,-5.544354839
1362,3,è„Émçëí¨,4869,5428,-559,-10.29845247,547.71,8.9,2175,2307,-132,-5.721716515
1363,3,å˙ëÚïîí¨,4055,4409,-354,-8.029031526,460.58,8.8,1764,1868,-104,-5.56745182
1364,3,â≥ïîí¨,3905,4408,-503,-11.41107078,162.59,24,1730,1863,-133,-7.139023081
1367,3,âúêKí¨,2693,3033,-340,-11.21002308,142.97,18.8,1274,1364,-90,-6.598240469
1370,3,ç°ã‡í¨,5631,6186,-555,-8.971871969,568.25,9.9,2280,2388,-108,-4.522613065
1371,3,ÇπÇΩÇ»í¨,8471,9590,-1119,-11.66840459,638.66,13.3,3850,4169,-319,-7.65171504
1390,c,å„éuëççáêUãªã«,93626,101012,-7386,-7.312002534,4062.05,23,42536,44120,-1584,-3.590208522
1391,3,ìáñqë∫,1495,1781,-286,-16.05839416,437.18,3.4,658,742,-84,-11.32075472
1392,3,éıìsí¨,3136,3443,-307,-8.916642463,95.24,32.9,1427,1536,-109,-7.096354167
1393,3,çïèºì‡í¨,3082,3250,-168,-5.169230769,345.65,8.9,1338,1353,-15,-1.10864745
1394,3,óñâzí¨,4843,5292,-449,-8.484504913,449.78,10.8,2093,2129,-36,-1.690934711
1395,3,ÉjÉZÉRí¨,4962,4823,139,2.882023637,197.13,25.2,2270,2054,216,10.51606621
1396,3,ê^éÎë∫,2108,2189,-81,-3.700319781,114.25,18.5,851,867,-16,-1.84544406
1397,3,óØéıìsë∫,1905,2034,-129,-6.342182891,119.84,15.9,915,883,32,3.62400906
1398,3,äÏñŒï í¨,2291,2490,-199,-7.991967872,189.41,12.1,1130,1207,-77,-6.37945319
1399,3,ãûã…í¨,3187,3811,-624,-16.37365521,231.49,13.8,1281,1740,-459,-26.37931034
1400,3,ã‰ímà¿í¨,15024,15568,-544,-3.494347379,261.34,57.5,6971,7102,-131,-1.844550831
1401,3,ã§òaí¨,6233,6428,-195,-3.033602987,304.91,20.4,2854,2698,156,5.782060786
1402,3,ä‚ì‡í¨,13041,14451,-1410,-9.757110235,70.6,184.7,6239,6555,-316,-4.820747521
1403,3,îëë∫,1763,1883,-120,-6.372809347,82.28,21.4,887,855,32,3.742690059
1404,3,ê_åbì‡ë∫,1004,1122,-118,-10.51693405,147.8,6.8,434,473,-39,-8.245243129
1405,3,êœíOí¨,2113,2516,-403,-16.01748808,238.14,8.9,1000,1175,-175,-14.89361702
1406,3,å√ïΩí¨,3188,3611,-423,-11.71420659,188.36,16.9,1463,1588,-125,-7.871536524
1407,3,êmñÿí¨,3498,3800,-302,-7.947368421,167.96,20.8,1480,1493,-13,-0.870730074
1408,3,ó]ésí¨,19631,21258,-1627,-7.653589237,140.59,139.6,8711,9051,-340,-3.756490996
1409,3,ê‘à‰êÏë∫,1122,1262,-140,-11.09350238,280.09,4,534,619,-85,-13.73182553
1420,c,ãÛímëççáêUãªã«,72770,79345,-6575,-8.286596509,2192.42,33.2,29094,30552,-1458,-4.772191673
1423,3,ìÏñyí¨,7930,8778,-848,-9.660514924,81.36,97.5,2968,3068,-100,-3.259452412
1424,3,ìﬁà‰ç]í¨,5678,6194,-516,-8.330642557,88.19,64.4,2466,2622,-156,-5.949656751
1425,3,è„çªêÏí¨,3490,4086,-596,-14.58639256,39.98,87.3,1744,1954,-210,-10.74718526
1427,3,óRêmí¨,5316,5896,-580,-9.837177748,133.74,39.7,2140,2258,-118,-5.225863596
1428,3,í∑è¿í¨,11088,11691,-603,-5.157813703,168.52,65.8,4246,4324,-78,-1.803885291
1429,3,åIéRí¨,12354,13340,-986,-7.391304348,203.93,60.6,5187,5484,-297,-5.415754923
1430,3,åéå`í¨,4578,4859,-281,-5.783082939,150.4,30.4,1467,1511,-44,-2.911978822
1431,3,âYâPí¨,1985,2206,-221,-10.01813237,101.83,19.5,877,920,-43,-4.673913044
1432,3,êVè\í√êÏí¨,6840,7249,-409,-5.642157539,495.47,13.8,2579,2694,-115,-4.26874536
1433,3,ñÖîwãçí¨,3083,3462,-379,-10.94742923,48.64,63.4,1287,1356,-69,-5.088495575
1434,3,íÅïÉï í¨,2516,2730,-214,-7.838827839,47.18,53.3,1017,1052,-35,-3.326996198
1436,3,âJó≥í¨,2748,3049,-301,-9.87208921,191.15,14.4,1004,1067,-63,-5.904404874
1437,3,ñkó≥í¨,1981,2193,-212,-9.667122663,158.7,12.5,782,805,-23,-2.857142857
1438,3,è¿ìcí¨,3183,3612,-429,-11.87707641,283.35,11.2,1330,1437,-107,-7.446068198
1450,c,è„êÏëççáêUãªã«,91972,96633,-4661,-4.823404013,7615.91,12.1,38320,38748,-428,-1.104573139
1452,3,ëÈê≤í¨,7016,7345,-329,-4.479237577,139.42,50.3,2713,2732,-19,-0.695461201
1453,3,ìåê_äyí¨,10231,9292,939,10.10546707,68.5,149.4,3656,3290,366,11.12462006
1454,3,ìññÉí¨,6692,7087,-395,-5.573585438,204.9,32.7,2697,2743,-46,-1.67699599
1455,3,î‰ïzí¨,3781,4042,-261,-6.457199406,86.9,43.5,1586,1639,-53,-3.233679073
1456,3,à§ï í¨,2979,3328,-349,-10.48677885,250.13,11.9,1292,1332,-40,-3.003003003
1457,3,è„êÏí¨,4052,4532,-480,-10.5913504,1049.47,3.9,2103,2303,-200,-8.684324794
1458,3,ìåêÏí¨,8115,7859,256,3.257411885,247.3,32.8,3149,2983,166,5.564867583
1459,3,î¸âlí¨,10297,10956,-659,-6.014968967,676.78,15.2,4305,4301,4,0.093001628
1460,3,è„ïxó«ñÏí¨,10814,11545,-731,-6.331745344,237.1,45.6,4363,4416,-53,-1.200181159
1461,3,íÜïxó«ñÏí¨,5071,5477,-406,-7.412817236,108.65,46.7,2020,2015,5,0.248138958
1462,3,ìÏïxó«ñÏí¨,2555,2814,-259,-9.2039801,665.54,3.8,1132,1199,-67,-5.587989992
1463,3,êËä•ë∫,1211,1394,-183,-13.1276901,571.41,2.1,709,794,-85,-10.70528967
1464,3,òaä¶í¨,3599,3832,-233,-6.080375783,225.11,16,1526,1601,-75,-4.684572142
1465,3,åïï£í¨,3235,3565,-330,-9.256661992,130.99,24.7,1332,1329,3,0.225733634
1468,3,â∫êÏí¨,3547,3775,-228,-6.039735099,644.2,5.5,1672,1685,-13,-0.771513353
1469,3,î¸ê[í¨,4659,5178,-519,-10.02317497,672.09,6.9,2041,2194,-153,-6.973564266
1470,3,âπà–éqï{ë∫,832,995,-163,-16.38190955,275.63,3,411,486,-75,-15.43209877
1471,3,íÜêÏí¨,1763,1907,-144,-7.551127425,594.74,3,898,926,-28,-3.023758099
1472,3,ñyâ¡ì‡í¨,1523,1710,-187,-10.93567251,767.04,2,715,780,-65,-8.333333333
1480,c,óØñGêUãªã«,25695,28648,-2953,-10.3078749,3148.05,8.2,11535,12276,-741,-6.036168133
1481,3,ëùñ—í¨,4504,5078,-574,-11.30366286,369.71,12.2,2052,2208,-156,-7.065217391
1482,3,è¨ïΩí¨,3339,3717,-378,-10.16949153,627.22,5.3,1420,1512,-92,-6.084656085
1483,3,ìœëOí¨,3266,3656,-390,-10.66739606,454.6,7.2,1421,1520,-99,-6.513157895
1484,3,âHñyí¨,7321,7964,-643,-8.073832245,472.65,15.5,3367,3534,-167,-4.725523486
1485,3,èâéRï ë∫,1218,1369,-151,-11.02994887,279.51,4.4,545,579,-34,-5.872193437
1486,3,âìï í¨,2807,3084,-277,-8.981841764,590.8,4.8,1220,1304,-84,-6.441717791
1487,3,ìVâñí¨,3240,3780,-540,-14.28571429,353.56,9.2,1510,1619,-109,-6.732550957
1510,c,è@íJëççáêUãªã«,31121,33852,-2731,-8.067470164,3864.6,8.1,14262,15056,-794,-5.273645058
1511,3,âéï•ë∫,2683,2825,-142,-5.026548673,589.97,4.5,1174,1220,-46,-3.770491803
1512,3,ïlì⁄ï í¨,3880,4168,-288,-6.909788868,401.64,9.7,1850,1868,-18,-0.96359743
1513,3,íÜì⁄ï í¨,1752,1974,-222,-11.24620061,398.51,4.4,782,817,-35,-4.283965728
1514,3,é}çKí¨,8440,9125,-685,-7.506849315,1115.93,7.6,3772,3952,-180,-4.55465587
1516,3,ñLïxí¨,4054,4378,-324,-7.400639561,520.69,7.8,1776,1854,-78,-4.207119741
1517,3,óÁï∂í¨,2776,3078,-302,-9.811565952,81.64,34,1339,1445,-106,-7.335640138
1518,3,óòêKí¨,2303,2590,-287,-11.08108108,76.51,30.1,1153,1313,-160,-12.18583397
1519,3,óòêKïxémí¨,2788,3037,-249,-8.198880474,105.61,26.4,1267,1363,-96,-7.043286867
1520,3,ñyâÑí¨,2445,2677,-232,-8.666417632,574.1,4.3,1149,1224,-75,-6.12745098
1540,c,ÉIÉzÅ[ÉcÉNëççáêUãªã«,110114,118572,-8458,-7.133218635,7961.41,13.8,47314,49024,-1710,-3.488087467
1543,3,î¸ñyí¨,20300,21575,-1275,-5.909617613,438.41,46.3,8626,8725,-99,-1.134670487
1544,3,í√ï í¨,5008,5646,-638,-11.30003542,716.8,7,2231,2358,-127,-5.385920271
1545,3,éŒó¢í¨,12226,13045,-819,-6.278267536,737.12,16.6,5560,5759,-199,-3.455461018
1546,3,ê¥ó¢í¨,4226,4551,-325,-7.141287629,402.76,10.5,1671,1784,-113,-6.334080718
1547,3,è¨ê¥êÖí¨,5086,5358,-272,-5.07652109,286.89,17.7,2033,2069,-36,-1.739971001
1549,3,åPéqï{í¨,5101,5435,-334,-6.145354186,190.95,26.7,1910,1956,-46,-2.351738241
1550,3,íuåÀí¨,3092,3428,-336,-9.801633606,527.27,5.9,1304,1367,-63,-4.608632041
1552,3,ç≤òCä‘í¨,5364,5892,-528,-8.961303462,404.94,13.2,2312,2415,-103,-4.265010352
1555,3,âìåyí¨,20864,22265,-1401,-6.292387155,1332.45,15.7,9267,9617,-350,-3.639388583
1559,3,óNï í¨,9236,10041,-805,-8.017129768,505.79,18.3,3861,4010,-149,-3.715710723
1560,3,ëÍè„í¨,2719,3028,-309,-10.20475561,766.89,3.5,1315,1376,-61,-4.433139535
1561,3,ãªïîí¨,3908,4301,-393,-9.137409905,362.54,10.8,1784,1877,-93,-4.954714971
1562,3,êºãªïîë∫,1118,1135,-17,-1.497797357,308.08,3.6,501,516,-15,-2.906976744
1563,3,óYïêí¨,4527,4939,-412,-8.341769589,636.86,7.1,2066,2228,-162,-7.271095153
1564,3,ëÂãÛí¨,7339,7933,-594,-7.487709568,343.66,21.4,2873,2967,-94,-3.16818335
1570,c,í_êUëççáêUãªã«,55837,60630,-4793,-7.905327396,2398.17,23.3,24929,25895,-966,-3.730449894
1571,3,ñLâYí¨,4298,4528,-230,-5.0795053,233.57,18.4,2007,1944,63,3.240740741
1575,3,ësïÀí¨,2925,3232,-307,-9.498762376,205.01,14.3,1172,1226,-54,-4.4045677
1578,3,îíòVí¨,17744,19376,-1632,-8.422791082,425.64,41.7,7956,8412,-456,-5.420827389
1581,3,å˙ê^í¨,4825,4890,-65,-1.329243354,404.61,11.9,2116,1972,144,7.302231237
1584,3,ì¥ñÍåŒí¨,9308,10132,-824,-8.132649033,180.81,51.5,4237,4461,-224,-5.021295674
1585,3,à¿ïΩí¨,8144,8726,-582,-6.669722668,237.16,34.3,3655,3753,-98,-2.611244338
1586,3,ÇﬁÇ©ÇÌí¨,8593,9746,-1153,-11.83049456,711.36,12.1,3786,4127,-341,-8.262660528
1600,c,ì˙çÇêUãªã«,69038,75321,-6283,-8.341631152,4811.13,14.3,31126,32479,-1353,-4.165768651
1601,3,ì˙çÇí¨,12377,13615,-1238,-9.092912229,992.11,12.5,5784,6064,-280,-4.617414248
1602,3,ïΩéÊí¨,5310,5596,-286,-5.110793424,743.09,7.1,2369,2412,-43,-1.782752902
1604,3,êVä•í¨,5596,5775,-179,-3.0995671,585.81,9.6,2404,2388,16,0.67001675
1607,3,âYâÕí¨,13081,14389,-1308,-9.090277295,694.26,18.8,6151,6358,-207,-3.255740799
1608,3,óléóí¨,4519,5114,-595,-11.6347282,364.3,12.4,2046,2206,-160,-7.25294651
1609,3,Ç¶ÇËÇ‡í¨,4905,5413,-508,-9.384814336,284,17.3,1932,2036,-104,-5.10805501
1610,3,êVÇ–ÇæÇ©í¨,23250,25419,-2169,-8.532987136,1147.55,20.3,10440,11015,-575,-5.220154335
1630,c,è\èüëççáêUãªã«,174132,180540,-6408,-3.549351944,10212.28,17.1,72807,72681,126,0.173360301
1631,3,âπçXí¨,44835,45085,-250,-0.554508151,466.02,96.2,18020,17660,360,2.038505096
1632,3,émñyí¨,6135,6416,-281,-4.379675811,259.19,23.7,2479,2458,21,0.854353133
1633,3,è„émñyí¨,4775,5080,-305,-6.003937008,694.23,6.9,2178,2225,-47,-2.112359551
1634,3,é≠í«í¨,5542,5702,-160,-2.806032971,402.88,13.8,2251,2270,-19,-0.837004405
1635,3,êVìæí¨,6290,6653,-363,-5.45618518,1063.83,5.9,3026,3106,-80,-2.575660013
1636,3,ê¥êÖí¨,9605,9961,-356,-3.57393836,402.25,23.9,4118,4097,21,0.512570173
1637,3,âËé∫í¨,18478,18905,-427,-2.25866173,513.76,36,7173,7089,84,1.184934405
1638,3,íÜéDì‡ë∫,3969,4006,-37,-0.923614578,292.58,13.6,1609,1570,39,2.484076433
1639,3,çXï ë∫,3186,3391,-205,-6.045414332,176.9,18,1239,1274,-35,-2.747252747
1641,3,ëÂé˜í¨,5734,5977,-243,-4.065584742,815.68,7,2536,2533,3,0.118436636
1642,3,çLîˆí¨,7032,7881,-849,-10.77274458,596.54,11.8,3162,3294,-132,-4.007285975
1643,3,ñãï í¨,26764,26547,217,0.817418164,477.64,56,10936,10359,577,5.570035718
1644,3,írìcí¨,6886,7527,-641,-8.516009034,371.79,18.5,3048,3189,-141,-4.42144873
1645,3,ñLç†í¨,3183,3394,-211,-6.216853271,536.71,5.9,1362,1376,-14,-1.017441861
1646,3,ñ{ï í¨,7343,8275,-932,-11.26283988,391.91,18.7,3258,3482,-224,-6.433084434
1647,3,ë´äÒí¨,6989,7630,-641,-8.401048493,1408.04,5,3179,3348,-169,-5.047789725
1648,3,ó§ï í¨,2475,2650,-175,-6.603773585,608.9,4.1,1147,1135,12,1.057268723
1649,3,âYñyí¨,4911,5460,-549,-10.05494505,729.85,6.7,2086,2216,-130,-5.866425993
1660,c,ã˙òHëççáêUãªã«,61792,66151,-4359,-6.589469547,4634.58,13.3,25990,26592,-602,-2.263838749
1661,3,ã˙òHí¨,19833,20526,-693,-3.376205788,252.66,78.5,8116,8098,18,0.222277106
1662,3,å˙ä›í¨,9777,10630,-853,-8.024459078,739.26,13.2,4115,4278,-163,-3.810191678
1663,3,ïlíÜí¨,6064,6511,-447,-6.865304869,423.63,14.3,2326,2344,-18,-0.767918089
1664,3,ïWíÉí¨,7740,8285,-545,-6.578153289,1099.37,7,3281,3365,-84,-2.49628529
1665,3,íÌéqã¸í¨,7771,8278,-507,-6.124667794,774.33,10,3507,3632,-125,-3.441629956
1667,3,íﬂãèë∫,2536,2627,-91,-3.464027408,571.8,4.4,1035,979,56,5.720122574
1668,3,îíçfí¨,8071,9294,-1223,-13.15902733,773.53,10.4,3610,3896,-286,-7.340862423
1690,c,ç™é∫êUãªã«,49721,51368,-1647,-3.206276281,7994.12,16.1,20696,20358,338,1.660280971
1691,3,ï äCí¨,15286,15855,-569,-3.588773258,1319.63,11.6,5993,5862,131,2.234732173
1692,3,íÜïWí√í¨,23777,23982,-205,-0.854807773,684.87,34.7,10433,10084,349,3.460928203
1693,3,ïWí√í¨,5243,5646,-403,-7.13779667,624.68,8.4,2169,2235,-66,-2.953020134
1694,3,óÖâPí¨,5415,5885,-470,-7.986406117,397.72,13.6,2101,2177,-76,-3.491042719
2000,a,ê¬êXåß,1308649,1373339,-64690,-4.710417457,9645.4,135.7,510948,513385,-2437,-0.474692482
2001,b,ésïî,1013653,1054602,-40949,-3.882886625,4584.81,221.1,403524,402619,905,0.224778264
2002,b,åSïî,294996,318737,-23741,-7.448460643,5060.59,58.3,107424,110766,-3342,-3.017171334
2201,2,ê¬êXés,287622,299520,-11898,-3.972355769,824.61,348.8,118279,119413,-1134,-0.949645349
2202,2,çOëOés,177549,183473,-5924,-3.228812959,524.2,338.7,71171,70142,1029,1.467024037
2203,2,î™åÀés,231379,237615,-6236,-2.624413442,305.54,757.3,93726,91917,1809,1.968079898
2204,2,çïêŒés,34293,36132,-1839,-5.089671206,217.05,158,11771,11794,-23,-0.195014414
2205,2,å‹èäêÏå¥és,55171,58421,-3250,-5.563068075,404.18,136.5,21136,21277,-141,-0.662687409
2206,2,è\òaìcés,63454,66110,-2656,-4.017546513,725.65,87.4,25509,25554,-45,-0.176097676
2207,2,éOëÚés,40223,41258,-1035,-2.508604392,119.87,335.6,16377,16211,166,1.023996052
2208,2,ÇﬁÇ¬és,58506,61066,-2560,-4.192185504,864.16,67.7,24446,24775,-329,-1.327951564
2209,2,Ç¬Ç™ÇÈés,33326,37243,-3917,-10.51741267,253.55,131.4,10979,11473,-494,-4.305761353
2210,2,ïΩêÏés,32130,33764,-1634,-4.839473996,346.01,92.9,10130,10063,67,0.665805426
2300,c,ìåí√åyåS,22988,25938,-2950,-11.37327473,653.29,35.2,8787,9436,-649,-6.877914371
2301,3,ïΩì‡í¨,11148,12361,-1213,-9.813121916,217.09,51.4,3968,4198,-230,-5.478799428
2303,3,ç°ï í¨,2747,3217,-470,-14.60988499,125.27,21.9,1289,1379,-90,-6.526468455
2304,3,ñHìcë∫,2896,3271,-375,-11.46438398,80.65,35.9,957,1070,-113,-10.56074766
2307,3,äOÉñïlí¨,6197,7089,-892,-12.58287488,230.29,26.9,2573,2789,-216,-7.744711366
2320,c,êºí√åyåS,18554,21140,-2586,-12.23273415,831.96,22.3,7155,7627,-472,-6.188540711
2321,3,ÈÀÉñëÚí¨,10131,11449,-1318,-11.51192244,343.08,29.5,3851,4095,-244,-5.958485959
2323,3,ê[âYí¨,8423,9691,-1268,-13.08430503,488.89,17.2,3304,3532,-228,-6.455266138
2340,c,íÜí√åyåS,1415,1594,-179,-11.22961104,246.02,5.8,488,570,-82,-14.38596491
2343,3,êºñ⁄âÆë∫,1415,1594,-179,-11.22961104,246.02,5.8,488,570,-82,-14.38596491
2360,c,ìÏí√åyåS,32647,35152,-2505,-7.126194811,223.06,146.4,10742,10966,-224,-2.042677366
2361,3,ì°çËí¨,15180,16021,-841,-5.249360215,37.29,407.1,4941,4912,29,0.59039088
2362,3,ëÂòkí¨,9684,10978,-1294,-11.78721079,163.43,59.3,3419,3648,-229,-6.277412281
2367,3,ìcé…äŸë∫,7783,8153,-370,-4.538206795,22.35,348.2,2382,2406,-24,-0.997506234
2380,c,ñkí√åyåS,38542,42240,-3698,-8.754734849,304.64,126.5,13175,13542,-367,-2.710087136
2381,3,î¬ñˆí¨,13937,15227,-1290,-8.471793525,41.88,332.8,4680,4770,-90,-1.886792453
2384,3,íﬂìcí¨,13400,14270,-870,-6.096706377,46.43,288.6,4384,4402,-18,-0.408905043
2387,3,íÜîëí¨,11205,12743,-1538,-12.06937142,216.32,51.8,4111,4370,-259,-5.926773455
2400,c,è„ñkåS,96924,100607,-3683,-3.660779071,1280.32,75.7,35781,35758,23,0.064321271
